epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.043,1.29243,2.0051,1.15498,0.77581,0.60284,0.72001,0.45191,1.32359,1.63817,1.17271,2e-05,2e-05,2e-05
2,246.519,1.12921,1.38496,1.05613,0.88976,0.91583,0.91512,0.56868,1.20314,1.1067,1.14312,5.8812e-05,5.8812e-05,5.8812e-05
3,277.787,1.06651,1.3621,1.05651,0.93047,0.94904,0.94533,0.65158,0.92294,1.27232,0.97756,9.604e-05,9.604e-05,9.604e-05
4,306.648,0.97998,0.98098,1.02143,0.97716,0.99291,0.99276,0.77061,0.82402,1.29587,0.92118,0.000131684,0.000131684,0.000131684
5,335.783,1.00115,0.8357,0.9621,0.95976,0.98582,0.9854,0.75472,0.85149,1.29591,0.94929,0.000165744,0.000165744,0.000165744
6,366.825,0.91205,0.8645,1.00462,0.92712,0.96454,0.96023,0.70248,0.96415,1.24755,1.02196,0.00019822,0.00019822,0.00019822
7,401.284,0.89176,0.68069,0.96596,0.96412,0.96454,0.96454,0.70992,0.9931,0.95874,1.03234,0.000229112,0.000229112,0.000229112
8,435.955,0.95193,0.73573,1.01614,0.99892,0.97872,0.99266,0.74167,0.87908,0.80543,0.9954,0.00025842,0.00025842,0.00025842
9,464.696,0.90541,0.72979,1.03343,0.80691,0.94844,0.90899,0.70172,0.81701,0.8949,0.96692,0.000286144,0.000286144,0.000286144
10,498.309,0.8566,0.66016,0.96053,0.99976,0.99291,0.995,0.78353,0.79274,0.63579,0.95661,0.000312284,0.000312284,0.000312284
11,533.884,0.80441,0.59613,0.97872,0.9988,1,0.995,0.78632,0.82605,0.59789,0.97533,0.00033684,0.00033684,0.00033684
12,564.642,0.95746,0.55667,1.0098,0.99178,1,0.99486,0.77011,0.84933,0.58537,0.98798,0.000359812,0.000359812,0.000359812
13,591.72,0.7991,0.60727,0.96979,0.99779,1,0.995,0.77491,0.81217,0.60453,0.97381,0.0003812,0.0003812,0.0003812
14,618.613,0.99078,0.61079,1.05855,0.99914,0.99291,0.995,0.79571,0.77799,0.61561,0.94578,0.000401004,0.000401004,0.000401004
15,645.362,0.96249,0.59403,0.9918,0.93855,0.99291,0.9552,0.7339,0.77516,0.69825,0.9528,0.000419224,0.000419224,0.000419224
16,672.275,0.86756,0.56719,0.95209,0.99828,0.99291,0.995,0.76693,0.79159,0.63961,0.98172,0.00043586,0.00043586,0.00043586
17,699.244,0.77353,0.54522,0.9417,0.98991,0.99291,0.99266,0.77117,0.85026,0.61881,1.01894,0.000450912,0.000450912,0.000450912
18,726.508,0.80784,0.5715,0.98903,0.99295,0.99892,0.99486,0.78063,0.82039,0.58299,1.00435,0.00046438,0.00046438,0.00046438
19,755.558,0.89571,0.54906,0.97819,0.99976,0.99291,0.995,0.7994,0.77524,0.60151,0.97755,0.000476264,0.000476264,0.000476264
20,783.166,0.82714,0.5242,0.94786,0.98974,0.99291,0.995,0.80998,0.74214,0.62628,0.95839,0.000486564,0.000486564,0.000486564
21,811.549,0.77895,0.49782,0.96102,0.97899,0.9912,0.9945,0.80073,0.74235,0.6178,0.965,0.00049528,0.00049528,0.00049528
22,842.152,0.74797,0.51834,0.92679,0.97014,0.98582,0.98386,0.7818,0.76508,0.60639,0.97644,0.000502412,0.000502412,0.000502412
23,870.759,0.78288,0.5142,0.94146,0.95231,0.99136,0.98837,0.76625,0.7913,0.6005,0.99752,0.00050796,0.00050796,0.00050796
24,899.766,0.79275,0.50282,0.96641,0.98571,0.9783,0.98709,0.76964,0.75128,0.61174,0.98222,0.000511924,0.000511924,0.000511924
25,928.909,0.76967,0.48716,0.95457,0.99285,0.98465,0.98925,0.77736,0.74142,0.53817,0.97319,0.000514304,0.000514304,0.000514304
